job_title,experience_level,employment_type,work_models,work_year,employee_residence,salary,salary_currency,salary_in_usd,company_location,company_size,salary_in_gbp
Data Engineer,Mid-level,Full-time,On-site,2022,United Kingdom,60000,GBP,73880,United Kingdom,Medium,60581.6
Machine Learning Engineer,Entry-level,Full-time,Remote,2022,United Kingdom,45000,GBP,55410,United Kingdom,Small,45436.2
Data Analyst,Senior-level,Full-time,On-site,2022,United Kingdom,70000,GBP,86193,United Kingdom,Medium,70678.26
Data Analyst,Senior-level,Full-time,On-site,2022,United Kingdom,50000,GBP,61566,United Kingdom,Medium,50484.119999999995
Lead Data Scientist,Mid-level,Full-time,Hybrid,2022,United Kingdom,50000,GBP,61566,United Kingdom,Small,50484.119999999995
Data Scientist,Mid-level,Full-time,Remote,2022,United Kingdom,107000,GBP,131752,United Kingdom,Medium,108036.64
Applied Machine Learning Scientist,Senior-level,Full-time,Remote,2022,France,73400,EUR,77119,United Kingdom,Large,63237.579999999994
Machine Learning Engineer,Entry-level,Full-time,Remote,2022,United Kingdom,30000,USD,30000,United Kingdom,Large,24600.0
Data Engineer,Mid-level,Full-time,On-site,2022,United Kingdom,74000,GBP,91118,United Kingdom,Medium,74716.76
Data Engineer,Mid-level,Full-time,On-site,2022,United Kingdom,50000,GBP,61566,United Kingdom,Medium,50484.119999999995
Data Scientist,Mid-level,Full-time,Hybrid,2022,United Kingdom,65000,GBP,80036,United Kingdom,Medium,65629.51999999999
Data Engineer,Mid-level,Full-time,On-site,2022,United Kingdom,110000,GBP,135446,United Kingdom,Medium,111065.71999999999
Data Engineer,Mid-level,Full-time,On-site,2022,United Kingdom,85000,GBP,104663,United Kingdom,Medium,85823.65999999999
Machine Learning Engineer,Mid-level,Full-time,On-site,2022,United Kingdom,95000,GBP,116976,United Kingdom,Medium,95920.31999999999
Machine Learning Engineer,Mid-level,Full-time,On-site,2022,United Kingdom,75000,GBP,92350,United Kingdom,Medium,75727.0
Machine Learning Engineer,Entry-level,Full-time,Remote,2022,United Kingdom,28500,GBP,35093,United Kingdom,Large,28776.26
Data Analyst,Mid-level,Full-time,Remote,2022,United Kingdom,40000,GBP,49253,United Kingdom,Medium,40387.46
Data Analyst,Mid-level,Full-time,Remote,2022,United Kingdom,30000,GBP,36940,United Kingdom,Medium,30290.8
